PROVINSI,TANGGAL,HARGA_BERAS
JAMBI,2024-06-01,14600.0
JAMBI,2024-07-01,14650.0
JAMBI,2024-08-01,14750.0
JAMBI,2024-09-01,15000.0
JAMBI,2024-10-01,15050.0
JAMBI,2024-11-01,15050.0
JAMBI,2024-12-01,15050.0
JAMBI,2025-01-01,15050.0
JAMBI,2025-02-01,15050.0
JAMBI,2025-03-01,15050.0
JAMBI,2025-04-01,15050.0
JAMBI,2025-05-01,15150.0
JAMBI,2025-06-01,15300.0
JAMBI,2025-07-01,15400.0
JAMBI,2025-08-01,15400.0
JAMBI,2025-09-01,15400.0
JAMBI,2025-10-01,15400.0
JAMBI,2025-11-01,15400.0
JAMBI,2025-12-01,15400.0
JAWA BARAT,2019-01-01,11400.0
JAWA BARAT,2019-02-01,11450.0
JAWA BARAT,2019-03-01,11400.0
